code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
601058,赛轮金宇,汽车配件,山东,218.44,22.61,22.94,1382597.75,595163.63,570466.06,96286.85,0.42,0.008,1.92,1.91,20110630,100112.11,0.44,26.72,-90.76,13.06,0.29,69912.0
300336,新文化,影视音像,上海,26.8,4.53,5.38,507448.41,290700.75,10020.24,149045.0,2.77,0.273,5.39,2.72,20120710,75803.81,1.41,19.14,26.48,30.44,22.57,35100.0
300520,科大国创,软件服务,安徽,667.18,1.13,2.11,105942.26,92204.86,3784.46,43189.96,2.04,0.022000000000000002,2.51,11.69,20160708,16909.72,0.8,31.43,-52.7,39.17,1.72,16883.0
002630,华西能源,专用机械,四川,48.56,6.03,7.38,1339972.75,890531.0,112195.9,125520.13,1.7,0.113,4.27,2.58,20111111,103351.63,1.4,22.97,-29.99,21.65,4.04,30000.0
002548,金新农,饲料,深圳,34.37,3.12,3.81,353634.22,122394.88,74733.9,86123.56,2.26,0.24100000000000002,4.33,2.55,20110218,35641.85,0.94,21.64,-26.0,18.48,3.79,36339.0
600592,龙溪股份,机械基件,福建,75.78,4.0,4.0,274262.06,141488.17,58187.2,69608.56,1.74,0.073,4.66,2.37,20020805,41850.25,1.05,45.52,6575.67,27.11,6.84,36951.0
002497,雅化集团,化工原料,四川,69.8,8.15,9.6,406811.66,137012.97,95469.68,37847.42,0.39,0.132,2.56,7.19,20101109,87370.67,0.91,43.46,58.77,35.45,12.31,79000.0
600312,平高电气,电气设备,河南,21.41,11.37,13.57,1929535.25,1424799.13,264253.25,488644.44,3.6,0.258,6.31,1.75,20010221,187574.81,1.38,17.67,-35.33,21.3,8.51,61065.0
601808,中海油服,石油开采,天津,0.0,29.6,47.72,7419185.0,1679657.75,4986202.5,1237173.88,2.59,-0.077,7.21,1.54,20070928,1484234.88,3.11,1.61,95.6,6.19,-5.2,81737.0
601169,北京银行,银行,北京,6.1,182.48,182.48,223916704.0,0.0,917600.0,2623600.0,1.44,0.607,8.11,0.91,20070919,5203400.0,2.85,7.48,4.31,0.0,41.81,158468.0
000908,景峰医药,化学制药,湖南,55.53,5.51,8.8,517930.69,307675.56,64475.91,73745.03,0.84,0.067,2.59,2.86,19990203,104164.36,1.18,-7.69,-50.56,75.27,6.47,24056.0
603505,金石资源,矿物制品,浙江,92.2,0.6,2.4,106156.51,16786.15,33472.1,17569.73,0.73,0.17,2.85,9.14,20170503,24826.92,1.03,0.0,0.0,40.92,20.42,25631.0
300455,康拓红外,运输设备,北京,99.93,1.27,3.92,77168.05,65238.8,9866.83,2414.55,0.06,0.055999999999999994,1.67,6.7,20150515,20283.15,0.52,15.66,23.14,46.13,22.67,19340.0
002167,东方锆业,小金属,广东,220.51,4.89,6.21,275500.53,93809.85,81567.45,59816.32,0.96,0.025,1.75,6.36,20070913,-8676.21,-0.14,18.04,221.88,27.13,4.77,63973.0
002700,新疆浩源,供气供热,新疆,69.26,3.13,4.22,110827.25,60370.82,38918.35,2375.48,0.06,0.121,2.22,5.04,20120921,43631.05,1.03,-3.88,-7.36,37.23,21.57,23913.0
002172,澳洋科技,化纤,江苏,28.46,5.59,7.33,523527.91,281481.97,184892.66,94362.31,1.29,0.132,1.82,4.12,20070921,-14925.47,-0.2,18.29,2.46,11.8,3.7,48376.0
002154,报 喜 鸟,服饰,浙江,0.0,10.69,12.63,400688.91,157428.31,76459.15,19428.32,0.15,-0.03,2.06,1.82,20070816,94727.67,0.75,24.06,68.59,60.98,-2.67,123817.0
002673,西部证券,证券,陕西,60.24,35.02,35.02,5226874.0,0.0,17308.85,949608.63,2.71,0.14,4.93,3.05,20120503,183175.86,0.52,-16.1,-25.7,0.0,30.7,248747.0
601969,海南矿业,普钢,海南,358.51,8.59,19.55,777343.69,425901.59,159233.11,266620.81,1.36,0.016,2.52,4.49,20141209,-19138.88,-0.1,216.67,129.96,21.32,2.73,27009.0
002597,金禾实业,化工原料,安徽,13.16,5.6,5.64,403230.34,240362.22,129023.36,48870.6,0.87,0.85,4.84,4.67,20110707,146725.19,2.6,35.4,104.88,30.8,21.46,27936.0
000886,海南高速,路桥,海南,40.93,9.65,9.89,318120.56,211701.05,11853.96,94393.02,0.95,0.092,2.71,2.8,19980123,37122.78,0.38,274.08,182.55,43.46,24.69,73707.0
002125,湘潭电化,化工原料,湖南,89.33,2.23,3.46,222804.47,66163.9,100253.32,69002.52,2.0,0.064,3.11,3.65,20070403,2352.73,0.07,30.38,299.21,25.55,6.46,26997.0
000590,启迪古汉,中成药,湖南,130.7,2.23,2.39,84726.0,49248.05,13843.72,41545.44,1.73,0.057999999999999996,2.31,6.59,19960119,-14673.7,-0.61,-2.4,16.93,54.19,8.74,11421.0
300382,斯莱克,专用机械,江苏,52.71,1.61,3.13,126000.35,95242.52,24215.25,51019.96,1.63,0.145,3.22,4.74,20140129,38017.28,1.21,9.65,5.8,51.01,25.78,7012.0
002186,全 聚 德,酒店餐饮,北京,33.13,3.06,3.08,211469.8,122352.0,46496.55,53977.07,1.75,0.433,4.89,3.92,20071120,53148.07,1.72,-1.14,3.09,63.02,9.66,22718.0
002533,金杯电工,电气设备,湖南,33.18,5.15,5.53,322109.88,212540.66,64881.6,81305.8,1.47,0.11599999999999999,4.0,1.92,20101231,77453.03,1.4,21.18,-9.6,14.08,4.01,49077.0
002156,通富微电,半导体,江苏,65.33,9.72,9.73,1118826.25,385543.63,499175.31,202619.97,2.08,0.08800000000000001,4.11,2.8,20070816,86702.56,0.89,70.66,0.22,15.34,2.88,63820.0
600396,金山股份,火力发电,辽宁,0.0,11.65,14.73,2024935.63,168114.06,1663469.25,136769.94,0.93,-0.087,2.38,1.62,20010328,51597.85,0.35,6.55,-172.5,8.25,-4.0,80201.0
600062,华润双鹤,化学制药,北京,19.26,6.86,8.69,910635.81,442420.81,233104.2,65991.21,0.76,0.599,8.21,2.81,19970522,538831.25,6.2,8.08,20.13,55.99,16.93,20920.0
600095,哈高科,区域地产,黑龙江,0.0,3.61,3.61,110293.32,71015.27,16555.45,26740.84,0.74,-0.033,1.96,3.92,19970708,3808.03,0.11,-41.37,-32.85,35.93,-18.26,45482.0
